Canción,Artista / Grupo,"Categoría ",Clásicos IBAMI,Complejidad técnica,Dominio de la iglesia,Dominio del equipo,Link,Tipo musical
Con Mis Manos Levantadas,Danilo Montero,Consagración / Entrega,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=xjc4tBCTlvM&si=Ea2kd9CWiIJjDdtb,Balada congregacional
"Jesús Salva ",Un Corazón,"Declaración Doctrinal, Evangelización / Misión",Yes,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=UqjA4zKS1zA&si=iyUaQReauyUSQOyy,Worship contemporáneo
Tu Fidelidad,Marcos Witt,Acción de Gracias,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=ZhWynMPlqxo&list=PLgtaTwebsGeWRnL8UR1pZg_ThtYg6OkPM,Balada congregacional
"Jesús, has mi carácter ",Daniel Calvetti,"Clamor / Intercesión, Consagración / Entrega, Evangelización / Misión",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=wLXKLy_g8Vs&si=yQYxbGzNHrLQk_Qi,Balada congregacional
Venció,Marcos Witt,Gozo / Celebración,Yes,Intermedia,Dominada,Por practicar,https://music.youtube.com/watch?v=_3RahEjgSII&si=fKfuRaYYk5V0ArFK,Celebración Rítmica
"Al estar ante tí ",Vive La Palabra,Exaltación / Gloria,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=kI_bor25wcM&si=nm96bOL5JJ-iXfY6,Balada congregacional
"No Hay Argumento ",Jesús A. Romero,Confesión / Arrepentimiento,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=8_gOnivRUsw&si=YvJFcaxCPlgm0s18,Celebración Rítmica
"Queremos Ver ",De hombre a hombre,"Evangelización / Misión, Gozo / Celebración",No,Básica,Nueva,Por practicar,https://music.youtube.com/watch?v=ob9MNqrew70&si=LbYw3pSneUcozPMY,Celebración Rítmica
"De gloria en gloria ",Marco Barrientos,"Exaltación / Gloria, Gozo / Celebración",No,Avanzada,Dominada,Montada,https://music.youtube.com/watch?v=I50l_0ODoB4&si=KiIiDAvgp0ZTbJiO,Celebración Rítmica
"Él es El Rey ",Danilo Montero,Exaltación / Gloria,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=3I0ovvz_l2Y&si=Hw4leFoJX3kHsYOl,Celebración Rítmica
De Gloria en Gloria,Marcos Witt,Consagración / Entrega,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=4iUEq3VOHos&si=pBzrILCqNajz0HhV,Balada congregacional
Alégrense,Marcos Witt,"Declaración Doctrinal, Gozo / Celebración",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=kfdGXTzXFRQ&si=PKvPZZpl9nzVrReK,Celebración Rítmica
Así Es Tu Amor,Jaime Murrell,"Exaltación / Gloria, Gozo / Celebración",No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=IpBtQtngg9w&si=OpwY88m0tram5IZe,Balada congregacional
"Dios de pactos ",Marcos Witt,Consagración / Entrega,No,Básica,Dominada,Montada,,Balada congregacional
Él Volverá,Marcos Witt,"Declaración Doctrinal, Gozo / Celebración",No,Intermedia,Dominada,Ensamblada,https://music.youtube.com/watch?v=N1NDNmoAh-U&si=4mI6p9RCE2_PFfyR,Celebración Rítmica
"Preciosa Sangre ",Marco Barrientos,"Confesión / Arrepentimiento, Consagración / Entrega",No,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=amfvFqXeIng&si=LFet7u4JM6Zhw-Nu,Worship contemporáneo
"Jesús, eres mi buen pastor ",Marcos Witt,"Clamor / Intercesión, Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=M6Sclb7y1Pc&si=e-8p9PrG-fpC507c,Balada congregacional
"A tí ",Marcos Witt,"Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=xGoAEakok-g&si=JOu5yX72OlWwTAbt,Balada congregacional
"Tu dulce amor ",Danilo Montero,"Acción de Gracias, Consagración / Entrega",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=u546A0J0XVc&si=YBBr2MtRnTDnYu4o,Balada congregacional
A tí la gloria,IBI,Exaltación / Gloria,No,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=JwytTaHToBM&si=QuCurXMHnaGqKQPS,Worship contemporáneo
"Cantaré de tu amor ",Danilo Montero,Consagración / Entrega,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=I8jEw8UeA0c&si=cvFt_r9i6VSRy5kN,Balada congregacional
No soy yo sino Cristo en mí,Doulos,"Consagración / Entrega, Declaración Doctrinal",No,Básica,Nueva,Por entrar,https://music.youtube.com/watch?v=CVSKDxA2ZV0&si=ybmqMkC-0bl4VP3E,"Himno Tradicional, Worship contemporáneo"
"Los que esperan en el señor ",Danilo Montero,"Declaración Doctrinal, Exaltación / Gloria",No,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=7-cff0k6Cq0&si=yBZEJzAzZVkpBLGD,Celebración Rítmica
Dios me ama,Danilo Montero,"Declaración Doctrinal, Evangelización / Misión, Exaltación / Gloria",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=S2VJbU1mIoM&si=_MGOIQTEM7N03n11,Balada congregacional
Palabras de vida eterna,Marcos Witt,"Declaración Doctrinal, Gozo / Celebración",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=CwYn6xXKOD4&si=qp3yhartTDjxo1mm,Celebración Rítmica
"Gracias ",Marcos Witt,Acción de Gracias,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=eQ-c1GfY73w&si=SJAv3JmTOJmDr3RF,Balada congregacional
Tu Palabra,Marcela Gándara,"Consagración / Entrega, Declaración Doctrinal",No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=6E2-ULnQJ2s&si=Z2Ws7qft48OHIoaY,Balada congregacional
Quien sino tú,Santiago Benavides,"Acción de Gracias, Consagración / Entrega",No,Básica,Nueva,Por practicar,https://music.youtube.com/watch?v=50MZCY1Legg&si=JlVVo3zWczJ2NF-f,Balada congregacional
Jesús Mi Fiel Amigo,Abel Zabala,"Clamor / Intercesión, Consagración / Entrega",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=MgNQC4zoAJ4&si=1YWEyMauE-n3OzKr,Balada congregacional
"Solo a tí ",Jaime Murrell,"Clamor / Intercesión, Exaltación / Gloria",No,Básica,Nueva,Por entrar,https://music.youtube.com/watch?v=w2hBiVFJfRI&si=ToCYUjPYzgrA0o-x,Balada congregacional
La Bondad de Dios,IBI,"Acción de Gracias, Exaltación / Gloria",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=Jy08K4twCp4&si=ddZZeWrjR4ZKC1R1,Worship contemporáneo
Señor te adoramos,Santiago Benavides,"Acción de Gracias, Exaltación / Gloria",No,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=z3-v_pAmua0&si=FCnRwHrzqSxQ9CWw,Balada congregacional
"El Señor Es Mi Pastor ",Danilo Montero,Declaración Doctrinal,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=SDq5aA0GCYM&si=Sp2RgE7x8Ir9YWX4,Balada congregacional
¿Él es digno?,IBI,"Clamor / Intercesión, Exaltación / Gloria",No,Básica,Nueva,Por entrar,https://music.youtube.com/watch?v=qpRdkq2mQv4&si=sPBjw1j_D5-ug4f0,Worship contemporáneo
Hay Libertad,IBI,"Declaración Doctrinal, Evangelización / Misión, Gozo / Celebración",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=jBQ4nUirULc&si=c6uIwkX1Uv3roF0b,Celebración Rítmica
"Cuanto amo tu ley ",Danilo Montero,"Declaración Doctrinal, Exaltación / Gloria",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=apK4KaOs1X4&si=lXE5KJi7FvNDtEra,Celebración Rítmica
"Al Que Me Ciñe de Poder ",Jesús A. Romero,"Exaltación / Gloria, Gozo / Celebración",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=qAKn-1q1qiY&si=V59D971CwkQAtSU8,Celebración Rítmica
Fiel,Majo y Dan,Consagración / Entrega,No,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=FucclshEnMQ&si=Op9Yogf2wGQl2-Dh,Worship contemporáneo
Tú Harás,Marcos Witt,"Declaración Doctrinal, Exaltación / Gloria",No,Avanzada,Conocida,Por practicar,https://music.youtube.com/watch?v=nWCLenPD3ZQ&si=LHuCYe-cdHzti-bl,"Celebración Rítmica, Especial"
Dulce refugio,Danilo Montero,"Declaración Doctrinal, Evangelización / Misión",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=MDn-_A2zfkM&si=QSgM8Q8bHfykk__m,Balada congregacional
¿A Quién Tengo Yo?,Jesus Legacy,Consagración / Entrega,Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=rs7T8Dy5meE&si=lciwXqp0tyB96a3r,Balada congregacional
"Te exaltamos ",Marcos Witt,"Exaltación / Gloria, Gozo / Celebración",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=ZLHVGxR-gAo&si=f-j0Eo2PGN-93fZ4,Celebración Rítmica
¿Quién como el Señor?,René González,"Exaltación / Gloria, Gozo / Celebración",Yes,Intermedia,Dominada,Ensamblada,https://music.youtube.com/watch?v=qfvxtY7h8Bw&si=tkI7KS9EG6CJvzhf,Celebración Rítmica
"Hay momentos ",Danilo Montero,"Clamor / Intercesión, Consagración / Entrega",No,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=8G4Gr9gKTTg&si=o8CicVCSDVZkdI3r,Balada congregacional
Siervo Para Tu Gloria,IBI,"Consagración / Entrega, Declaración Doctrinal",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=DIe0Fi9ysgA&si=gfKKCaUmuRnImimZ,Celebración Rítmica
Eres mi amigo fiel,Coalo Zamorano,"Exaltación / Gloria, Gozo / Celebración",Yes,Intermedia,Dominada,Ensamblada,https://music.youtube.com/watch?v=Uhcs42IFh4Q&si=NU2sbLzzIKLygCxG,"Celebración Rítmica, Especial"
"Yo Sé ",Marco Barrientos,"Declaración Doctrinal, Exaltación / Gloria, Gozo / Celebración",Yes,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=ZbMahKoBt8o&si=ZNG1MP8I2by_2GQ0,Celebración Rítmica
Ven es hora de adorarle,Marco Barrientos,Exaltación / Gloria,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=qAKn-1q1qiY&si=UbErw75CAl_B_zZq,Celebración Rítmica
Jesucristo Basta,Un Corazón,"Acción de Gracias, Declaración Doctrinal",Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=k_TwdkVxYE0&si=u63aiRE2i6ugRJyw,Worship contemporáneo
Yo te busco,Marcos Witt,"Clamor / Intercesión, Declaración Doctrinal, Exaltación / Gloria",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=EN_c6I_lV9o&si=kKZFqxM2LJweFpU2,"Balada congregacional, Especial"
Música del Cielo,Miel San Marcos,"Exaltación / Gloria, Gozo / Celebración",Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=BV6490Ts3EQ&si=ePoyHiulTr3duHf2,Celebración Rítmica
Nueva Criatura,Jesús A. Romero,"Declaración Doctrinal, Gozo / Celebración",Yes,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=fvXHMoR1O9Y&si=O7LKPvoInmaPE14Y,Celebración Rítmica
"Con Manos Vacías ",Jesús A. Romero,"Confesión / Arrepentimiento, Consagración / Entrega",Yes,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=2LwBFKH2cUI&si=FeLl5405N2K3A9cT,Balada congregacional
Mas Que Nunca,Un Corazón,Consagración / Entrega,No,Intermedia,Nueva,Por entrar,,Balada congregacional
"Vamos a Cantar ",Luis Enrique Espinosa,"Acción de Gracias, Exaltación / Gloria, Gozo / Celebración",No,Avanzada,Nueva,Por entrar,https://youtu.be/4fFDEQCPi88?si=mfcyYsKuKZA4Upbq,Celebración Rítmica
Toda lengua y toda nación,Tomatulugar,"Declaración Doctrinal, Gozo / Celebración",Yes,Avanzada,Nueva,Por entrar,https://music.youtube.com/watch?v=SdRdqJgmb5U&si=HbwUep47eEGTLWSt,"Celebración Rítmica, Worship contemporáneo"
"Supe que me amabas ",Marcela Gándara,"Confesión / Arrepentimiento, Consagración / Entrega",No,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=kE7PCX7wdGM&si=YhEXzjOApHArErPt,Balada congregacional
"A Dios sea la Gloria ",Danny Berrios,"Acción de Gracias, Consagración / Entrega",No,Intermedia,Conocida,Ensamblada,https://music.youtube.com/watch?v=A0BXNl8uozI&si=G1S240CjHpJMiJ6M,Balada congregacional
Tu Mirada (25 aniversario),Marcos Witt,Consagración / Entrega,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=vle5H40SGEU&si=JqrPkMKuL4TIAnu2,Balada congregacional
Hermoso Eres (25 aniversario),Marcos Witt,"Acción de Gracias, Consagración / Entrega",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=WotExLBLsS4&si=BuMVxfrAN3Rz-lS_,Balada congregacional
,,,No,,,,,
"Canta Al Señor ",Ingrid Rosario,"Declaración Doctrinal, Exaltación / Gloria",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=wNQO8B4vbVE&si=GLLRXZ75QdlK32mx,"Balada congregacional, Coral, Especial"
"La casa de Dios ",Danilo Montero,"Declaración Doctrinal, Evangelización / Misión, Gozo / Celebración",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=PgUI_eJqxwo&si=jKHeF4L13ioVKgzM,Celebración Rítmica
El Poder de Tu Amor,Ingrid Rosario,"Declaración Doctrinal, Exaltación / Gloria",No,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=wNQO8B4vbVE&si=GLLRXZ75QdlK32mx,"Balada congregacional, Coral, Especial"
Este es mi deseo,Claudio Friedzon,"Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=8uPgS22sWaQ&si=HOPAv9HA_pbE4NnS,Balada congregacional
"Digno es el señor ",Vino Nuevo,"Acción de Gracias, Declaración Doctrinal, Exaltación / Gloria",No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=7BVNNPHftbo&si=V_1sTGL3XBzTW_cA,"Balada congregacional, Especial"
"Te daré lo mejor ",Jesús A. Romero,Declaración Doctrinal,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=vMiPG3vWO-A&si=hcPbjk50T4aNIhl6,Celebración Rítmica
"Enamórame ",Abel Zabala,"Consagración / Entrega, Evangelización / Misión",Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=PcxOm1SMsNo&si=gwtxUa1YDD_KsS-u,Balada congregacional
El amor de Cristo,Hillsong,"Consagración / Entrega, Declaración Doctrinal",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=NtWGdvxBpHI&si=lGMeyKTxYtPATsCN,Balada congregacional
"Eres Fiel ",Coalo Zamorano,"Exaltación / Gloria, Gozo / Celebración",Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=yLNXFrzFqnI&si=7bpYYhSrn0-1wq0_,"Celebración Rítmica, Especial"
"Poderoso Dios ",Marcos Witt,"Clamor / Intercesión, Exaltación / Gloria",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=N1KoaapgBu0&si=FbrnbT24REI9nA0B,Balada congregacional
"Al estar aquí ",Danilo Montero,"Consagración / Entrega, Declaración Doctrinal",Yes,Básica,Dominada,Montada,,Balada congregacional
Lo harás otra vez,Elevation Worship,Clamor / Intercesión,Yes,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=rU8MVy-JsAI&si=LqtExLgw2rniifPU,Worship contemporáneo
Alabdle!,Marcos Witt,Exaltación / Gloria,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=Qy833_8I8Jw&si=jjEVRciAUnfFRt8_,Celebración Rítmica
"Junto a tus pies ",Danilo Montero,"Clamor / Intercesión, Consagración / Entrega",No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=tNu-TQQ7NbQ&si=_N8OXicGs56dR5zF,"Balada congregacional, Especial"
"Cerca de tí ",Jesús A. Romero,"Clamor / Intercesión, Confesión / Arrepentimiento",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=nz4u5HKSAoE&si=GQzHvhm0mNkcnl37,Balada congregacional
"Creo en tí ",Julio Melgar,Exaltación / Gloria,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=xJ_ZZkM5fGY&si=J1m4w3nYcLvL4E_6,Balada congregacional
Al que está sentado en el trono,Tomatulugar,"Clamor / Intercesión, Consagración / Entrega, Exaltación / Gloria",No,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=MclX3YvhBMM&si=kdXn6LTV2ApF0Wv_,Worship contemporáneo
Me asombra,En Espíritu y en Verdad,"Consagración / Entrega, Evangelización / Misión",Yes,Intermedia,Nueva,Por practicar,https://music.youtube.com/watch?v=mPoDsQ1BR1g&si=ODd8piEUKi6QpE1D,"Especial, Worship contemporáneo"
Mas El Dios de toda Gracia,Marcos Witt,Exaltación / Gloria,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=cWkDXlAE5Xs&si=0hUWR89hqRmudm_b,Balada congregacional
"Has cambiado mi lamento ",Marcos Witt,Gozo / Celebración,No,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=mPoDsQ1BR1g&si=ODd8piEUKi6QpE1D,Celebración Rítmica
"Grandes son Tus maravillas ",Jaime Murrell,"Exaltación / Gloria, Gozo / Celebración",Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=dsgj-gJRcgU&si=SMM5cdoVE88AY4Rc,Celebración Rítmica
"Santo por siempre ",IBI,Exaltación / Gloria,No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=-CAFAc5OYqc&si=aOnZeEaoQo3ZAcSQ,Worship contemporáneo
"Venimos ante Tí ",Marco Barrientos,"Clamor / Intercesión, Declaración Doctrinal, Exaltación / Gloria",No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=NKS35QMgFtE&si=taKfrud4n6HgySrf,Balada congregacional
"Mi vida eres tú ",Coalo Zamorano,"Exaltación / Gloria, Gozo / Celebración",No,Avanzada,Nueva,Por entrar,https://music.youtube.com/watch?v=_0Hz-yLVH-M&si=dE56CE83yAjLiU_W,Celebración Rítmica
"Yo me rindo a ÉL ",Su presencia,Consagración / Entrega,No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=kVivVyrCPV8&si=VeaMo2--ISX1Jsc-,"Especial, Himno Tradicional"
"Al que me ",,,No,,,,,
"Al que es digno ",Marcos Witt,"Exaltación / Gloria, Gozo / Celebración",Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=4zdTcNRf7WE&si=ivskUNrYcCnvj2SS,Celebración Rítmica
"Te vengo a bendecir ",Jesús A. Romero,"Clamor / Intercesión, Consagración / Entrega",No,Básica,Nueva,Por entrar,https://music.youtube.com/watch?v=4XgnqizZ1AA&si=Vt_D7PwfivTTmTh9,Balada congregacional
Damos honor a tí,Coalo Zamorano,"Acción de Gracias, Consagración / Entrega",No,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=UOKQpHOkzTQ&si=StFwLbsp0jn1NzVg,Balada congregacional
"Abre los cielos ",Jesús A. Romero,"Clamor / Intercesión, Evangelización / Misión",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=-6iyurBfo6A&si=tX6a73tpyWE-w9r5,Balada congregacional
"Tu Amor por Mí ",Marcos Witt,Acción de Gracias,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=XJOkVUyZQZQ&si=gKu2iLlP7MHaDSGz,Balada congregacional
"Nuestro Salvador ",Coalo Zamorano,"Consagración / Entrega, Evangelización / Misión",Yes,Intermedia,Nueva,Por practicar,https://music.youtube.com/watch?v=60Ncc55pvNU&si=-GLi47YRTbU30O7R,Worship contemporáneo
"Amante de Tí ",Marcos Witt,"Acción de Gracias, Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=ilFQrVEjmrU&si=0VRRTQFAGt5x7uvy,Balada congregacional
"Quiero levantar mis manos ",Majo y Dan,Consagración / Entrega,No,Intermedia,Dominada,Por practicar,https://music.youtube.com/watch?v=3c6SYKG2MYg&si=ol5GssLivxjQbRfJ,Worship contemporáneo
"Tu nombre oh Dios ",Marcos Witt,Exaltación / Gloria,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=NfoQer54JSU&si=q0FByxA3lenj1q4_,Celebración Rítmica
"Quiero LLenar ",Fermín Garcia,Consagración / Entrega,No,Básica,Nueva,Por entrar,https://music.youtube.com/watch?v=IDaNNHAWjQA&si=4gOhy_Ncz9fkKhu_,Balada congregacional
Usa mi vida,Danilo Montero,"Clamor / Intercesión, Confesión / Arrepentimiento",No,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=8Okof73vyoQ&si=yh-fNW1C77ulV4ix,"Balada congregacional, Especial"
"Quiero llenar ",Fermín Garcia,"Acción de Gracias, Consagración / Entrega",No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=IDaNNHAWjQA&si=4pRssxyrTXbhnKuO,Balada congregacional
"Perfume a tus pies ",En Espíritu y en Verdad,Consagración / Entrega,No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=mVkWoznNTOk&si=rvVRqjEThFQw7e9M,Balada congregacional
"Vivo para adorarte ",Coalo Zamorano,Consagración / Entrega,No,Básica,Conocida,Montada,https://music.youtube.com/watch?v=TFEGDi4OAyg&si=U0U98XIfbTD7CEWt,Worship contemporáneo
Luz de mi Vida,Marcos Witt,Consagración / Entrega,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=dtIHnbIyffo&si=acE5DYty0pZkhPWC,Balada congregacional
"Soy nueva criatura ",Jesús A. Romero,Gozo / Celebración,Yes,Intermedia,Dominada,Montada,https://music.youtube.com/watch?v=xpQS7QkvmGU&si=Y77hkdWGhBjD5wSv,Celebración Rítmica
"Has aumentado ",Danilo Montero,"Acción de Gracias, Gozo / Celebración",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=Arei0roTsDM&si=qdodWMwZbpDH5O2G,Celebración Rítmica
Dios poderoso,IBI,Exaltación / Gloria,Yes,Intermedia,Dominada,Ensamblada,https://music.youtube.com/watch?v=K2f0u6LGHIE&si=70Pqff-V4xP_y0SG,Worship contemporáneo
Aquel que la buena obraa empezó,Steve Green,Clamor / Intercesión,No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=41KmGg93i3I&si=ByGhIm6x-OWURNPL,Balada congregacional
"Gracia Sublime es ",En Espíritu y en Verdad,"Evangelización / Misión, Exaltación / Gloria",Yes,Intermedia,Dominada,Ensamblada,https://youtu.be/0pOVNIsyIXM?si=dLXo1iziFTify652,Worship contemporáneo
"El padre que siempre soñé  ",Abel Zabala,"Acción de Gracias, Clamor / Intercesión, Evangelización / Misión",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=expXvbefIVY&si=p4RzoWEKOe0SG9fH,Balada congregacional
"Grande y fuerte es nuestro Dios ",Miel San Marcos,"Exaltación / Gloria, Gozo / Celebración",Yes,Avanzada,Dominada,Ensamblada,https://youtu.be/YOFJJquEK2k?si=IwgBrg4qmWjphK1j,Celebración Rítmica
"Renuévame ",Marcos Witt,"Clamor / Intercesión, Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=w2hBiVFJfRI&si=7gQlmrpGxN2nTf6L,Balada congregacional
,,,No,,,,,
"Todo lo que respire ",IBI,Exaltación / Gloria,Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=e28v65rt89w&si=asiLVf9M6A0Ru4OP,Celebración Rítmica
"Hosanna ",Marco Barrientos,"Clamor / Intercesión, Exaltación / Gloria",Yes,Avanzada,Dominada,Ensamblada,https://youtu.be/3kXfjfT6ewU?si=bvW1q1uKftKaYYKU,Celebración Rítmica
"Lo unico que quiero ",Abel Zabala,Consagración / Entrega,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=gKPjGrhVLNg&si=nWH2F7KMah9CnQ7c,Balada congregacional
No basta,Juan Carlos Alvarado,"Confesión / Arrepentimiento, Consagración / Entrega, Evangelización / Misión",Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=LXMLHk1al4k&si=xI-Oe9VTLDb9yzhn,Balada congregacional
"Esperar en tí ",Jesús A. Romero,"Clamor / Intercesión, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=n7UQxs49DGU&si=DT0EZVMt2l8Z_sSW,Balada congregacional
"A sus pies ",Jesús A. Romero,Confesión / Arrepentimiento,Yes,Intermedia,Dominada,Ensamblada,https://music.youtube.com/watch?v=2TGRgpyy_bU&si=amAkNFSCLIDmJ-ld,"Balada congregacional, Especial"
,,,No,,,,,
